nct_number,study_title,phase,enrollment,funder_type,sponsor,start_date,completion_date,duration_months,start_year,allocation,masking,primary_purpose,intervention_model,is_multinational,country_count,scope
NCT00790205,Sitagliptin Cardiovascular Outcomes Study (MK-0431-082),Phase 3,14671,INDUSTRY,Merck Sharp & Dohme LLC,,,,,RANDOMIZED,"DOUBLE (PARTICIPANT, INVESTIGATOR)",TREATMENT,PARALLEL,0,0,Single Country
NCT01194830,Efficacy and Safety of Linagliptin (BI 1356) in Black/African Americans With Type 2 Diabetes With a MTT Sub-study,Phase 3,234,INDUSTRY,Boehringer Ingelheim,2010-09-01,2011-10-01,13.0,2010.0,RANDOMIZED,DOUBLE,TREATMENT,PARALLEL,0,1,Single Country
NCT01596504,Pharmacodynamic Effects of Lixisenatide Compared to Liraglutide in Patients With Type 2 Diabetes Not Adequately Controlled With Insulin Glargine With or Without Metformin,Phase 2,142,INDUSTRY,Sanofi,2012-05-01,2013-07-01,14.0,2012.0,RANDOMIZED,NONE,TREATMENT,PARALLEL,0,1,Single Country
NCT01175473,Effects of Lixisenatide Compared to Liraglutide on the Postprandial Plasma Glucose in Patients With Type 2 Diabetes,Phase 2,148,INDUSTRY,Sanofi,2010-08-01,2010-11-01,3.0,2010.0,RANDOMIZED,NONE,TREATMENT,PARALLEL,0,1,Single Country
NCT00666718,A Comparison Study of Basal Bolus Therapies Together With Lispro Insulin in Type 2 Diabetes Patients,Phase 3,374,INDUSTRY,Eli Lilly and Company,2008-04-01,2010-02-01,22.0,2008.0,RANDOMIZED,NONE,TREATMENT,PARALLEL,1,10,Multinational
NCT00502710,A Study of Dipeptidyl-peptidase IV (DPP-IV) RO4876904 in Patients With Type 2 Diabetes.,Phase 2,289,INDUSTRY,Hoffmann-La Roche,2007-07-01,2008-04-01,9.0,2007.0,RANDOMIZED,"DOUBLE (PARTICIPANT, INVESTIGATOR)",TREATMENT,PARALLEL,1,9,Multinational
NCT00975286,24-week Treatment With Lixisenatide in Type 2 Diabetes Insufficiently Controlled With Metformin and Insulin Glargine,Phase 3,446,INDUSTRY,Sanofi,2009-10-01,2011-08-01,22.0,2009.0,RANDOMIZED,"DOUBLE (PARTICIPANT, INVESTIGATOR)",TREATMENT,PARALLEL,1,26,Multinational
NCT00541775,Safety/Efficacy of Sitagliptin in Patient w/ Type 2 Diabetes (0431-801),Phase 3,273,INDUSTRY,Merck Sharp & Dohme LLC,2006-06-01,2007-03-01,9.0,2006.0,RANDOMIZED,"DOUBLE (PARTICIPANT, INVESTIGATOR)",TREATMENT,PARALLEL,0,0,Single Country
NCT01336751,Lantus Versus Humalog Mix as add-on Therapy in Type Diabetes Patients Failing Sulfonylurea and Metformin Combination Treatment,Phase 3,212,INDUSTRY,Sanofi,2001-07-01,2002-12-01,17.0,2001.0,RANDOMIZED,NONE,TREATMENT,PARALLEL,0,1,Single Country
NCT01194882,Benefit/Risk Evaluation of Insuman Implantable Versus Insuplant Using Medtronic MiniMed Implantable Pump System in Patients With Type 1 Diabetes,Phase 3,479,INDUSTRY,Sanofi,,,,,RANDOMIZED,SINGLE (PARTICIPANT),TREATMENT,PARALLEL,1,4,Multinational
NCT00950599,Study of Multiple Doses of Saxagliptin (BMS-477118),Phase 2,423,INDUSTRY,AstraZeneca,2003-05-01,2004-05-01,12.0,2003.0,RANDOMIZED,"QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)",TREATMENT,PARALLEL,0,0,Single Country
NCT04409795,Oral Hypoglycemic Therapy for Monogenic Variant Carriers of the Joslin Medalist Study,Phase 2/3,3,OTHER,Joslin Diabetes Center,,,,,NON_RANDOMIZED,NONE,TREATMENT,PARALLEL,0,1,Single Country
NCT01028391,30-Week Extension to an Initial Combination Study (24 Weeks in Duration) of Sitagliptin With Pioglitazone (0431-064),Phase 3,317,INDUSTRY,Merck Sharp & Dohme LLC,,,,,RANDOMIZED,"DOUBLE (PARTICIPANT, INVESTIGATOR)",TREATMENT,PARALLEL,0,0,Single Country
NCT00968812,CANagliflozin Treatment And Trial Analysis-Sulfonylurea (CANTATA-SU) SGLT2 Add-on to Metformin Versus Glimepiride,Phase 3,1452,INDUSTRY,"Janssen Research & Development, LLC",2009-09-01,2013-01-01,40.0,2009.0,RANDOMIZED,"QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)",TREATMENT,PARALLEL,1,20,Multinational
NCT03430856,Comparison of Insulin Tregopil (IN-105) With Insulin Aspart in Type 2 Diabetes Mellitus Patients,Phase 2/3,143,INDUSTRY,Biocon Limited,,,,,RANDOMIZED,NONE,TREATMENT,PARALLEL,0,1,Single Country
NCT01076088,Safety and Efficacy of Co-Administration of Sitagliptin and Metformin in China (MK-0431-121),Phase 3,744,INDUSTRY,Merck Sharp & Dohme LLC,,,,,RANDOMIZED,"DOUBLE (PARTICIPANT, INVESTIGATOR)",TREATMENT,PARALLEL,0,0,Single Country
NCT01457911,Evaluation of Fixed Dose Combination of Glimepiride and Metformin in Chinese Type 2 Diabetes Patients Inadequately Controlled With Metformin,Phase 3,244,INDUSTRY,Sanofi,2011-10-01,2013-02-01,16.1,2011.0,RANDOMIZED,NONE,TREATMENT,PARALLEL,0,1,Single Country
NCT02146651,"A Double-blinded, Randomised, Four-period Crossover Euglycemic Clamp Trial Investigating the Dose-response and Dose-exposure Relationship of BioChaperone Insulin Lispro in Three Different Doses in Subjects With Type 1 Diabetes",Phase 2,38,INDUSTRY,Adocia,2014-05-01,2014-12-01,7.0,2014.0,RANDOMIZED,"QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)",TREATMENT,CROSSOVER,0,1,Single Country
NCT00455598,"Placebo Controlled, Dose Escalation Study in Subjects With Type 2 Diabetes Mellitus Being Treated With Sulfonylurea",Phase 2,88,INDUSTRY,"Ionis Pharmaceuticals, Inc.",2007-02-01,2009-05-01,26.9,2007.0,RANDOMIZED,"TRIPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR)",TREATMENT,PARALLEL,1,3,Multinational
NCT00290940,"Evaluation of Glucose Lowering Effect, Safety and Tolerability of CS-917",Phase 2,400,INDUSTRY,Daiichi Sankyo,2006-01-01,2007-04-01,14.9,2006.0,RANDOMIZED,"DOUBLE (PARTICIPANT, INVESTIGATOR)",TREATMENT,PARALLEL,0,1,Single Country
NCT00809705,A Study of the Effect of Taspoglutide on Gastric Emptying in Patients With Type 2 Diabetes,Phase 3,60,INDUSTRY,Hoffmann-La Roche,2008-12-01,2009-10-01,10.0,2008.0,RANDOMIZED,"DOUBLE (PARTICIPANT, INVESTIGATOR)",TREATMENT,PARALLEL,1,2,Multinational
NCT04632862,The Efficacy and Safety of DWP16001 Compared to Placebo in the Treatment of Type 2 Diabetes Mellitus.,Phase 3,140,INDUSTRY,Daewoong Pharmaceutical Co. LTD.,,,,,RANDOMIZED,"DOUBLE (PARTICIPANT, INVESTIGATOR)",TREATMENT,PARALLEL,0,1,Single Country
NCT00821977,Efficacy and Long-Term Safety of Vildagliptin as Monotherapy in Patients With Type 2 Diabetes,Phase 2/3,338,INDUSTRY,Novartis,2008-11-01,2010-10-01,23.0,2008.0,RANDOMIZED,"TRIPLE (PARTICIPANT, INVESTIGATOR, OUTCOMES_ASSESSOR)",TREATMENT,PARALLEL,1,8,Multinational
NCT01602003,Phase III Trial to Evaluate the Efficacy and Safety of LC15-0444 Compared With Sitagliptin Added to Ongoing Metformin Therapy in Patients With Type 2 Diabetes,Phase 3,425,INDUSTRY,LG Life Sciences,2009-12-01,2012-05-01,29.0,2009.0,RANDOMIZED,"DOUBLE (PARTICIPANT, INVESTIGATOR)",TREATMENT,PARALLEL,0,1,Single Country
NCT03911843,Omega-3 and Vitamin D Supplements in Childhood T1D,Phase 2/3,64,OTHER,Azienda Ospedaliero Universitaria Maggiore della Carita,,,,,NON_RANDOMIZED,NONE,SUPPORTIVE_CARE,PARALLEL,0,0,Single Country
NCT00111631,A Study of DPP-IV Inhibitor in Patients With Type 2 Diabetes,Phase 2,218,INDUSTRY,Hoffmann-La Roche,2005-05-01,2006-10-01,17.0,2005.0,RANDOMIZED,"DOUBLE (PARTICIPANT, INVESTIGATOR)",TREATMENT,PARALLEL,1,6,Multinational
NCT00355849,Evaluate the Efficacy and Safety of Insulin in Patients With Type 2 Diabetes,Phase 3,555,INDUSTRY,Eli Lilly and Company,2006-08-01,2008-06-01,22.0,2006.0,RANDOMIZED,NONE,TREATMENT,PARALLEL,1,12,Multinational
NCT00174642,Opposing Step-by-step Insulin Reinforcement to Intensified Strategy,Phase 3,811,INDUSTRY,Sanofi,2004-12-01,,,2004.0,RANDOMIZED,NONE,TREATMENT,PARALLEL,1,18,Multinational
NCT00511719,Bioavailability of Technosphere® Insulin Versus Subcutaneous Regular Human Insulin in Type 2 Diabetes,Phase 2,13,INDUSTRY,Mannkind Corporation,2004-02-01,2005-03-01,12.9,2004.0,RANDOMIZED,NONE,TREATMENT,CROSSOVER,0,0,Single Country
NCT01440140,Closing the Loop in Adults With Type 1 Diabetes in the Home Setting,Phase 2,24,OTHER,University of Cambridge,2012-12-01,2014-01-01,13.0,2012.0,RANDOMIZED,NONE,TREATMENT,CROSSOVER,0,1,Single Country
NCT00653341,Effect of Insulin Glargine in Insulin Naïve Subjects With Type 2 Diabetes on Oral Hypoglycemic Agent(s),Phase 3,764,INDUSTRY,Sanofi,2000-01-01,2001-10-01,21.0,2000.0,RANDOMIZED,NONE,TREATMENT,PARALLEL,1,2,Multinational
NCT02551874,"A 24-week Open-Label, Phase 3b Trial With a 28-week Extension to Evaluate the Efficacy and Safety of Saxagliptin Co-administered With Dapagliflozin Compared to Insulin Glargine in Subjects withType 2 Diabetes Who Have Glycemic Control on Metformin",Phase 3,650,INDUSTRY,AstraZeneca,,,,,RANDOMIZED,NONE,TREATMENT,PARALLEL,1,10,Multinational
NCT00612014,Safety and Efficacy of IV Infusion of Investigational Agent (TZP-101) in Patients With Severe Diabetic Gastroparesis,Phase 2,78,INDUSTRY,"Tranzyme, Inc.",2007-10-01,2009-03-01,17.0,2007.0,RANDOMIZED,"TRIPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR)",TREATMENT,PARALLEL,1,6,Multinational
NCT04654390,The Efficacy Nad Safety of DWP16001 Compared to Active Drug in the Treatment of Type 2 Diabetes Mellitus,Phase 3,270,INDUSTRY,Daewoong Pharmaceutical Co. LTD.,,,,,RANDOMIZED,"DOUBLE (PARTICIPANT, INVESTIGATOR)",TREATMENT,PARALLEL,0,1,Single Country
NCT00094991,Mechanism of Action and Efficacy of Muraglitazar in Type 2 Diabetes,Phase 3,42,INDUSTRY,Bristol-Myers Squibb,2004-05-01,2006-05-01,24.0,2004.0,RANDOMIZED,DOUBLE,TREATMENT,PARALLEL,1,2,Multinational
NCT02053272,A Study of GWP42004 as Add on to Metformin in the Treatment of Participants With Type 2 Diabetes,Phase 2,207,INDUSTRY,Jazz Pharmaceuticals,2014-02-01,2016-02-01,24.0,2014.0,RANDOMIZED,"QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)",TREATMENT,PARALLEL,1,2,Multinational
NCT00397631,Initial Combination With Pioglitazone Study (0431-064),Phase 3,520,INDUSTRY,Merck Sharp & Dohme LLC,,,,,RANDOMIZED,"DOUBLE (PARTICIPANT, INVESTIGATOR)",TREATMENT,PARALLEL,0,0,Single Country
NCT01658501,"Phase 2b Multicenter, Randomized, Double-Blind, Placebo- and Active-Controlled, Parallel-Group Study to Assess the PD Response and Safety of Three Dose Levels of (PB1023) Injection Following 20 Weeks of Weekly SC Dosing in Adults With T2DM",Phase 2,593,INDUSTRY,PhaseBio Pharmaceuticals Inc.,2012-07-01,2013-07-01,12.0,2012.0,RANDOMIZED,"QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)",TREATMENT,PARALLEL,0,1,Single Country
NCT02213146,"A Double-blinded, Randomised, Three-period Crossover Euglycaemic Clamp Trial Investigating the Pharmacokinetics, Glucodynamics and Safety of BioChaperone Human Insulin, Human Insulin (Huminsulin® Normal) and Insulin Lispro (Humalog®) in Subjects With Type 1 Diabetes",Phase 1/2,38,INDUSTRY,Adocia,2014-08-01,2015-06-01,10.0,2014.0,RANDOMIZED,"QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)",TREATMENT,CROSSOVER,0,1,Single Country
NCT00461006,A Comparison of the Effects of Aleglitazar and Actos on Renal Function on Patients With Type 2 Diabetes.,Phase 2,176,INDUSTRY,Hoffmann-La Roche,2007-06-01,2008-09-01,15.0,2007.0,RANDOMIZED,"DOUBLE (PARTICIPANT, INVESTIGATOR)",TREATMENT,PARALLEL,1,5,Multinational
NCT00366379,A Dose-Titration Study of GK Activator (2) in Patients With Type 2 Diabetes.,Phase 2,127,INDUSTRY,Hoffmann-La Roche,2006-07-01,2007-06-01,11.0,2006.0,NON_RANDOMIZED,NONE,TREATMENT,SINGLE_GROUP,1,4,Multinational
NCT01156597,Effects of Pioglitazone on High-density Lipoprotein (HDL) Function in Persons With Diabetes,Phase 3,30,OTHER,University of Miami,2008-04-01,2010-09-01,29.0,2008.0,RANDOMIZED,NONE,BASIC_SCIENCE,PARALLEL,0,1,Single Country
NCT02582814,The Safety and Efficacy of Dapagliflozin Therapy in Combination With Insulin in Japanese Subjects With T1DM,Phase 3,151,INDUSTRY,AstraZeneca,,,,,RANDOMIZED,NONE,TREATMENT,PARALLEL,0,1,Single Country
NCT00135057,Insulin Glulisine in Adult Subjects With Type 2 Diabetes Receiving Insulin Glargine as Basal Insulin,Phase 3,281,INDUSTRY,Sanofi,2004-04-01,2005-08-01,16.0,2004.0,RANDOMIZED,NONE,TREATMENT,PARALLEL,0,1,Single Country
NCT01879917,Liraglutide in Newly Onset Type 1 Diabetes.,Phase 2/3,65,OTHER,Hvidovre University Hospital,2014-02-01,2018-08-01,53.9,2014.0,RANDOMIZED,"TRIPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR)",TREATMENT,PARALLEL,0,1,Single Country
NCT03182322,PINIT Study: Primary Intranasal Insulin Trial,Phase 2,38,OTHER,Technical University of Munich,,,,,RANDOMIZED,"TRIPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR)",PREVENTION,PARALLEL,0,1,Single Country
NCT02585505,Tissue Distribution of F18-FDG Labeled ABMSCT in Patients With Type2 Diabetes Mellitus,Phase 1/2,21,OTHER,"Post Graduate Institute of Medical Education and Research, Chandigarh",2010-12-01,2012-12-01,24.0,2010.0,RANDOMIZED,SINGLE (PARTICIPANT),TREATMENT,PARALLEL,0,0,Single Country
NCT00529399,Effects of Recombinant Human Glutamic Acid Decarboxylase on the Progression of Type 1 Diabetes in New Onset Subjects,Phase 2,145,NIH,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),2009-02-01,2012-05-01,38.9,2009.0,RANDOMIZED,"TRIPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR)",TREATMENT,PARALLEL,1,2,Multinational
NCT00359762,Exenatide Versus Glimepiride in Patients With Type 2 Diabetes,Phase 3,1029,INDUSTRY,AstraZeneca,2006-09-01,2011-03-01,53.9,2006.0,RANDOMIZED,NONE,TREATMENT,PARALLEL,1,14,Multinational
NCT03149770,"Naloxone, Hypoglycemia and Exercise",Phase 2,30,OTHER,University of Minnesota,,,,,RANDOMIZED,"QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)",TREATMENT,CROSSOVER,0,1,Single Country
NCT00860288,Efficacy and Long-Term Safety of Vildagliptin as Add-on Therapy to Metformin in Patients With Type 2 Diabetes,Phase 2/3,1988,INDUSTRY,Novartis Pharmaceuticals,2009-02-01,2011-03-01,24.9,2009.0,RANDOMIZED,"TRIPLE (PARTICIPANT, INVESTIGATOR, OUTCOMES_ASSESSOR)",TREATMENT,PARALLEL,1,21,Multinational
NCT00546325,REASSURE: The Effect of Rimonabant on HbA1c in Overweight or Obese Patients With Type 2 Diabetes Not Adequately Controlled on 2 Oral Antidiabetic Agents,Phase 3,358,INDUSTRY,Sanofi,2007-10-01,2009-02-01,16.1,2007.0,RANDOMIZED,"DOUBLE (PARTICIPANT, INVESTIGATOR)",TREATMENT,PARALLEL,0,1,Single Country
NCT01296412,Comparison of Two Treatment Regimens (Sitagliptin Versus Liraglutide) on Participants Who Failed to Achieve Good Glucose Control on Metformin Alone (MK-0431-403),Phase 3,653,INDUSTRY,Merck Sharp & Dohme LLC,,,,,RANDOMIZED,NONE,TREATMENT,PARALLEL,0,0,Single Country
NCT00676338,"Safety and Efficacy of Exenatide Once Weekly Injection Versus Metformin, Dipeptidyl Peptidase-4 Inhibitor, or Thiazolidinedione as Monotherapy in Drug-Naive Patients With Type 2 Diabetes (DURATION-4)",Phase 3,820,INDUSTRY,AstraZeneca,2008-11-01,2011-01-01,26.0,2008.0,RANDOMIZED,"DOUBLE (PARTICIPANT, INVESTIGATOR)",TREATMENT,PARALLEL,1,22,Multinational
NCT01242202,A Study to Assess the Safety and Efficacy of ASP1941 in Combination With α-glucosidase Inhibitor in Type 2 Diabetic Patients,Phase 3,113,INDUSTRY,Astellas Pharma Inc,,,,,,NONE,TREATMENT,SINGLE_GROUP,0,1,Single Country
NCT00148538,Type 1 Diabetes Aerobic and Resistance Exercise (T1-DARE),Phase 3,66,OTHER,Ottawa Hospital Research Institute,2005-07-01,2012-04-01,81.0,2005.0,RANDOMIZED,SINGLE (OUTCOMES_ASSESSOR),TREATMENT,PARALLEL,0,1,Single Country
NCT01204294,Comprehensive Add on Study in Japan,Phase 3,574,INDUSTRY,Boehringer Ingelheim,2010-09-01,2012-01-01,16.0,2010.0,RANDOMIZED,NONE,TREATMENT,PARALLEL,0,1,Single Country
NCT00370565,Effect on Glycemic Control of Inhaled Insulin Alone or Added to Dual Oral Therapy After Failure of Dual Oral Therapy.,Phase 3,345,INDUSTRY,Pfizer,1999-06-01,2000-09-01,15.0,1999.0,RANDOMIZED,NONE,TREATMENT,PARALLEL,1,2,Multinational
NCT03711682,Reducing Plasma Glucose Effect of Cinnamon in Type 2 Diabetic Patients in the Municipality of Comasagua,Phase 2/3,30,OTHER,Universidad Dr. José Matías Delgado,,,,,RANDOMIZED,"DOUBLE (PARTICIPANT, CARE_PROVIDER)",TREATMENT,PARALLEL,0,1,Single Country
NCT01206582,A Pilot Study of Hemin Therapy for Gastroparesis (Diabetes Mellitus),Phase 2,20,OTHER,Mayo Clinic,2010-05-01,2014-12-01,55.0,2010.0,RANDOMIZED,"QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)",TREATMENT,PARALLEL,0,1,Single Country
NCT00822211,Efficacy of add-on Therapy With Vildagliptin in Chinese Patients With Type 2 Diabetes Inadequately Controlled With Prior Metformin Monotherapy,Phase 3,404,INDUSTRY,Novartis,2008-12-01,2009-12-01,12.0,2008.0,RANDOMIZED,"TRIPLE (PARTICIPANT, INVESTIGATOR, OUTCOMES_ASSESSOR)",TREATMENT,PARALLEL,0,1,Single Country
NCT00309751,Study Comparing Pitavastatin and Atorvastatin in Patients With Type II Diabetes Mellitus and Combined Dyslipidemia,Phase 3,418,INDUSTRY,Kowa Research Europe,2005-12-01,2007-06-01,18.0,2005.0,RANDOMIZED,"QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)",TREATMENT,PARALLEL,1,6,Multinational
NCT00487240,Comparison of Two Basal Insulin Therapies for Patients With Type 1 Diabetes,Phase 3,387,INDUSTRY,Eli Lilly and Company,2007-06-01,2008-08-01,14.0,2007.0,RANDOMIZED,NONE,TREATMENT,PARALLEL,1,9,Multinational
NCT01242228,A Study to Assess the Safety and Efficacy of ASP1941 in Combination With Dipeptidyl Peptidase-4 (DPP-4) Inhibitor in Type 2 Diabetic Patients,Phase 3,106,INDUSTRY,Astellas Pharma Inc,,,,,,NONE,TREATMENT,SINGLE_GROUP,0,1,Single Country
NCT00688701,GLP-1 Receptor Agonist Lixisenatide in Patients With Type 2 Diabetes for Glycemic Control and Safety Evaluation in Monotherapy,Phase 3,361,INDUSTRY,Sanofi,2008-05-01,2009-12-01,19.0,2008.0,RANDOMIZED,"QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)",TREATMENT,PARALLEL,1,12,Multinational
NCT01103284,Efficacy and Safety Study of DiaPep277 in Newly Diagnosed Type 1 Diabetes Adults,Phase 3,475,INDUSTRY,Andromeda Biotech Ltd.,2010-04-01,2014-10-01,54.0,2010.0,RANDOMIZED,"QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)",TREATMENT,PARALLEL,1,14,Multinational
NCT02547519,Pre-POINT-Early Study,Phase 2,44,OTHER,Technical University of Munich,2015-08-01,2017-12-01,28.0,2015.0,RANDOMIZED,"TRIPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR)",PREVENTION,PARALLEL,0,1,Single Country
NCT00701090,A Study to Test the Safety and Efficacy of Sitagliptin Compared to Glimepiride in Patients With Type 2 Diabetes on a Stable Dose of Metformin (0431-803)(COMPLETED),Phase 3,1035,INDUSTRY,Merck Sharp & Dohme LLC,2008-05-01,2009-10-01,17.0,2008.0,RANDOMIZED,"DOUBLE (PARTICIPANT, INVESTIGATOR)",TREATMENT,PARALLEL,0,0,Single Country
NCT00763815,"GLP-1 Receptor Agonist Lixisenatide in Patients With Type 2 Diabetes for Glycemic Control and Safety Evaluation, on Top of Pioglitazone",Phase 3,484,INDUSTRY,Sanofi,2008-09-01,2011-06-01,33.0,2008.0,RANDOMIZED,"DOUBLE (PARTICIPANT, INVESTIGATOR)",TREATMENT,PARALLEL,1,13,Multinational
NCT03091673,Glucose Response of G-Pen (Glucagon Injection) in Pediatric T1D Patients,Phase 3,31,INDUSTRY,Xeris Pharmaceuticals,,,,,NON_RANDOMIZED,NONE,TREATMENT,SEQUENTIAL,0,1,Single Country
NCT00467168,Optimal Dietary Fat Pattern to Prevent Cardiovascular Disease Among Type 2 Diabetes,Phase 1/2,30,OTHER,Sun Yat-sen University,1998-01-01,1998-05-01,3.9,1998.0,RANDOMIZED,SINGLE,PREVENTION,PARALLEL,0,1,Single Country
NCT01316094,A Study to Assess Efficacy and Safety of ASP1941 in Diabetic Patients With Renal Impairment,Phase 3,165,INDUSTRY,Astellas Pharma Inc,,,,,RANDOMIZED,"QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)",TREATMENT,PARALLEL,0,1,Single Country
NCT00121641,Saxagliptin Treatment in Subjects With Type 2 Diabetes Who Are Not Controlled With Diet and Exercise,Phase 3,1035,INDUSTRY,AstraZeneca,2005-07-01,2010-02-01,55.1,2005.0,RANDOMIZED,"DOUBLE (PARTICIPANT, INVESTIGATOR)",TREATMENT,PARALLEL,1,6,Multinational
NCT00637273,"A Study to Compare the Glycemic Effects, Safety, and Tolerability of Exenatide Once Weekly to Those of Sitagliptin and Pioglitazone,in Subjects With Type 2 Diabetes Treated With Metformin (DURATION - 2)",Phase 3,514,INDUSTRY,AstraZeneca,2008-01-01,2009-07-01,18.0,2008.0,RANDOMIZED,"DOUBLE (PARTICIPANT, INVESTIGATOR)",TREATMENT,PARALLEL,1,3,Multinational
NCT00546702,Glulisine + Lantus in Type I Patients,Phase 3,142,INDUSTRY,Sanofi,2004-09-01,2005-02-01,5.0,2004.0,NON_RANDOMIZED,NONE,TREATMENT,SINGLE_GROUP,0,1,Single Country
NCT00545337,Glulisine + Lantus in Type I Patients,Phase 3,60,INDUSTRY,Sanofi,2004-09-01,2005-06-01,9.0,2004.0,NON_RANDOMIZED,NONE,TREATMENT,SINGLE_GROUP,0,1,Single Country
NCT00885352,Sitagliptin (MK-0431) vs. Placebo in Patients With Inadequate Glycemic Control on Metformin With Pioglitazone (MK-0431-128),Phase 3,313,INDUSTRY,Merck Sharp & Dohme LLC,,,,,RANDOMIZED,"DOUBLE (PARTICIPANT, INVESTIGATOR)",TREATMENT,PARALLEL,0,0,Single Country
NCT06481085,To Evaluate Efficacy and Safety of HDM1002 Tablets in Adults With Type 2 Diabetes Mellitus,Phase 2,324,INDUSTRY,"Hangzhou Zhongmei Huadong Pharmaceutical Co., Ltd.",,,,,RANDOMIZED,"QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)",TREATMENT,PARALLEL,0,1,Single Country
NCT00328172,Efficacy and Safety of 3 Doses of BI1356 (Linagliptin) in Type 2 Diabetes Patients,Phase 2,302,INDUSTRY,Boehringer Ingelheim,2006-05-01,,,2006.0,RANDOMIZED,DOUBLE,TREATMENT,PARALLEL,1,6,Multinational
NCT00219089,"A Clinical Study to Evaluate the Safety and Efficacy of Aliskiren Alone and in Combination With Ramipril in Hypertensive, Diabetic Patients.",Phase 3,839,INDUSTRY,Novartis,2004-11-01,2005-08-01,9.0,2004.0,RANDOMIZED,DOUBLE,TREATMENT,PARALLEL,1,2,Multinational
NCT03977727,FIasp® vs. Novolog® in Type 1 Diabetics Using 670G Medtronic Pump,Phase 3,40,OTHER,"Texas Diabetes & Endocrinology, P.A.",,,,,RANDOMIZED,NONE,TREATMENT,CROSSOVER,0,1,Single Country
NCT01434186,"A Multicenter, Randomized, Double-blind, Placebo-controlled Study to Evaluate the Efficacy and Safety of Saxagliptin (BMS-477118) in Combination With Metformin IR or Metformin XR in Pediatric Patients With Type 2 Diabetes Who Have Inadequate Glycemic Control on Metformin Alone",Phase 3,32,INDUSTRY,AstraZeneca,2012-05-01,2016-04-01,47.0,2012.0,RANDOMIZED,"DOUBLE (PARTICIPANT, INVESTIGATOR)",TREATMENT,PARALLEL,1,7,Multinational
NCT00131664,Avandia™ + Amaryl™ or Avandamet™ Compared With Metformin (AVALANCHE™ Study),Phase 3,391,OTHER,Canadian Heart Research Centre,2005-09-01,2008-01-01,28.0,2005.0,RANDOMIZED,NONE,TREATMENT,PARALLEL,0,1,Single Country
NCT01607450,Modulation of Human Myocardial Metabolism by GLP-1 Dose Response,Phase 2/3,33,OTHER,Indiana University,2010-05-01,2012-12-01,31.0,2010.0,NON_RANDOMIZED,SINGLE (PARTICIPANT),TREATMENT,PARALLEL,0,1,Single Country
NCT00976391,A Study to Determine the Safety and Efficacy of Albiglutide Administered in Combination With Insulin Glargine,Phase 3,586,INDUSTRY,GlaxoSmithKline,2009-09-01,2012-05-01,32.0,2009.0,RANDOMIZED,NONE,TREATMENT,PARALLEL,1,14,Multinational
NCT03017352,Meal-time Administration of Exenatide for Glycaemic Control in Type 1 Diabetic Cases,Phase 2,108,OTHER,Filip Krag Knop,2016-12-01,2019-06-01,30.0,2016.0,RANDOMIZED,"QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)",TREATMENT,PARALLEL,0,1,Single Country
NCT00885118,4 Weeks Treatment With Empagliflozin (BI 10773) in Japanese Type 2 Diabetic Patients (T2DM),Phase 2,100,INDUSTRY,Boehringer Ingelheim,2009-04-01,,,2009.0,RANDOMIZED,DOUBLE,TREATMENT,PARALLEL,0,1,Single Country
