nct_number,study_title,phase,enrollment,funder_type,sponsor,start_date,completion_date,duration_months,start_year,allocation,masking,primary_purpose,intervention_model,is_multinational,country_count,scope
NCT00952445,A Safety and Efficacy Study of T0903131 (INT131) Besylate to Treat Type 2 Diabetes Mellitus,Phase 2,70,INDUSTRY,"InteKrin Therapeutics, Inc.",2003-12-01,2004-06-01,6.0,2003.0,RANDOMIZED,"QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)",TREATMENT,PARALLEL,0,1,Single Country
NCT00297401,Renal and Peripheral Hemodynamic Function in Patients With Type 1 Diabetes Mellitus,Phase 3,20,INDUSTRY,"Chromaderm, Inc.",2006-03-01,2007-11-01,20.0,2006.0,RANDOMIZED,"TRIPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR)",TREATMENT,PARALLEL,0,1,Single Country
NCT00006505,Solitary Islet Transplantation for Type 1 Diabetes Mellitus Using Steroid Sparing Immunosuppression,Phase 2,6,NIH,National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),,,,,NON_RANDOMIZED,NONE,TREATMENT,SINGLE_GROUP,0,1,Single Country
NCT00129259,Autoimmunity-blocking Antibody for Tolerance in Recently Diagnosed Type 1 Diabetes,Phase 2,83,NIH,National Institute of Allergy and Infectious Diseases (NIAID),2005-09-01,2011-03-01,65.9,2005.0,RANDOMIZED,SINGLE (OUTCOMES_ASSESSOR),TREATMENT,PARALLEL,0,1,Single Country
NCT02830048,Low dosE GlibENclamide in Diabetes Part A,Phase 2,16,OTHER,University of Oxford,2016-07-01,,,2016.0,,NONE,TREATMENT,SINGLE_GROUP,0,1,Single Country
NCT01648582,A Study Comparing the Effects and Safety of Dulaglutide With Insulin Glargine in Type 2 Diabetes Mellitus,Phase 3,774,INDUSTRY,Eli Lilly and Company,2012-07-01,2014-12-01,29.0,2012.0,RANDOMIZED,NONE,TREATMENT,PARALLEL,1,4,Multinational
NCT02412852,A Phase 2a Study to Assess Safety & Pharmacokinetics of Sustained Release Sodium Nitrite in Patients With Diabetic Pain,Phase 2,26,INDUSTRY,TheraVasc Inc.,,,,,RANDOMIZED,"QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)",TREATMENT,PARALLEL,0,1,Single Country
NCT00174668,"Insulin Glulisine in Diabetes Mellitus, Type 2",Phase 3,311,INDUSTRY,Sanofi,2004-11-01,,,2004.0,RANDOMIZED,NONE,TREATMENT,PARALLEL,1,15,Multinational
NCT00447213,A Study for Patients With Type 1 Diabetes Mellitus,Phase 2/3,70,INDUSTRY,Eli Lilly and Company,2007-04-01,2008-05-01,13.0,2007.0,RANDOMIZED,NONE,TREATMENT,CROSSOVER,1,2,Multinational
NCT01422668,Effect of Coffee Consumption on the Glycemic Index of Khalas Dates Tested in Healthy and Diabetic Subjects,Phase 3,23,OTHER,United Arab Emirates University,2010-03-01,2010-06-01,3.0,2010.0,NON_RANDOMIZED,SINGLE (PARTICIPANT),,SINGLE_GROUP,0,1,Single Country
NCT03230786,Study to Evaluate the Efficacy and Safety of KBP-042 in Patients With Type 2 Diabetes,Phase 2,255,INDUSTRY,KeyBioscience AG,,,,,RANDOMIZED,"TRIPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR)",TREATMENT,PARALLEL,1,6,Multinational
